stem	word_m	lang_GT_API
dun	d'un	fr
pu	pu	
dub	dub	en
blink	blink	en
due	due	en
empti	empty	en
miser	miserable	en
depui	depuis	fr
whom	whom	en
secret	secret	en
pa	pa	
damn	damn	en
pe	pe	
threaten	threatening	en
brick	brick	en
pi	pieds	fr
po	po'	ru
woke	woke	en
dame	dame	en
firm	firm	en
invis	invisible	en
sweetheart	sweetheart	en
modern	modern	en
flight	flight	en
champion	champion	en
gay	gay	en
pronto	pronto	es
fire	fire	en
infect	infected	en
imag	image	en
aprè	après	fr
gas	gas	en
gar	gar	de
demasiado	demasiado	es
gal	gal	lt
understand	understand	en
occhi	occhi	it
vuol	vuole	it
demand	demand	en
educ	education	en
cantar	cantar	es
funk	funk	en
convers	conversation	en
highest	highest	en
stolen	stolen	en
ignit	ignite	en
look	look	en
tambien	tambien	es
cur	cur	en
solid	solid	en
straight	straight	en
bill	bill	en
här	här	sv
crazi	crazy	en
rope	rope	en
pace	pace	en
while	while	en
caress	caress	en
kick	kick	en
abov	above	en
error	error	en
fun	fun	en
fleet	fleeting	en
sombra	sombra	es
ruido	ruido	es
andar	andar	pt
everyon	everyone	en
pack	pack	en
grip	grip	en
gimm	gimme	en
pound	pound	en
esperanza	esperanza	es
readi	ready	en
mystic	mystic	en
von	von	de
demon	demons	en
voi	vois	fr
rip	rip	en
feliz	feliz	pt
rio	rio	pt
vow	vow	en
vor	vor	de
centuri	century	en
decay	decay	en
rid	rid	en
vanish	vanish	en
anguish	anguish	en
ohhhh	ohhhh	tl
voz	voz	es
chase	chase	en
wrath	wrath	en
resurrect	resurrection	en
importa	importa	es
starlight	starlight	en
grant	granted	en
belong	belong	en
butcher	butcher	en
funni	funny	en
basta	basta	it
grand	grand	fr
9	9	
ray	ray	en
boom	boom	en
memphi	memphis	en
higher	higher	en
pray	pray	en
caer	caer	es
appreci	appreciate	en
tower	tower	en
itch	itch	en
mountain	mountain	en
camera	camera	en
defeat	defeat	en
se	se	
haus	haus	de
moment	moment	en
000	000	en
seren	serenity	en
extrem	extreme	en
giorni	giorni	it
mot	mots	fr
giorno	giorno	it
weird	weird	en
adentro	adentro	es
haga	haga	es
lower	lower	en
older	older	en
primavera	primavera	it
adesso	adesso	it
spent	spent	en
hago	hago	es
person	person	en
cheer	cheer	en
chees	cheese	en
elev	elevator	en
f	f	
y	y	
revolv	revolver	en
tast	taste	en
spend	spend	en
howl	howling	en
mon	mon	fr
i’m	i’m	en
coup	coup	fr
chord	chords	en
burden	burden	en
blur	blur	en
tanto	tanto	es
claro	claro	es
obscur	obscure	en
nuestra	nuestra	es
shape	shape	en
you´r	you´re	en
world	world	en
i’v	i’ve	tr
unto	unto	en
nuestro	nuestro	es
wage	wage	en
cut	cut	en
cup	cup	en
ciel	ciel	fr
cuz	cuz	en
calor	calor	es
havin	havin'	en
arriba	arriba	es
grin	grin	en
voll	voll	de
snap	snap	en
hombr	hombre	es
cum	cum	ro
hater	haters	en
bin	bin	de
wil	wil	nl
march	march	en
maria	maria	pt
amart	amarte	es
bleibt	bleibt	de
bid	bid	en
sittin	sittin'	en
almighti	almighty	en
lovin	lovin'	en
judgement	judgement	en
game	game	en
quest	quest	en
volver	volver	es
warmth	warmth	en
bit	bit	en
awaken	awaken	en
bir	bir	tr
paint	paint	en
vino	vino	es
bruis	bruised	en
knock	knock	en
d	d	
spine	spine	en
confront	confront	en
signal	signal	en
clay	clay	en
glove	glove	en
strife	strife	en
chorus	chorus	en
collect	collect	en
een	een	nl
conceiv	conceive	en
donna	donna	it
gloom	gloom	en
sleigh	sleigh	en
cruis	cruise	en
foolish	foolish	en
parar	parar	pt
mighti	mighty	en
often	often	en
mía	mía	es
mío	mío	es
spring	spring	en
christian	christian	en
creation	creation	en
some	some	en
back	back	en
understood	understood	en
palm	palm	en
loser	loser	en
sight	sight	en
mirror	mirror	en
wonderland	wonderland	en
curious	curious	en
surpris	surprise	en
pale	pale	en
senseless	senseless	en
rien	rien	fr
scale	scale	en
chocol	chocolate	en
maiden	maiden	en
encuentro	encuentro	es
schön	schön	de
pet	pet	en
peu	peu	fr
ave	ave	en
shall	shall	en
medo	medo	pt
per	per	it
religion	religion	en
pelo	pelo	pt
sagen	sagen	de
larg	large	en
undon	undone	en
anni	annie	en
fuori	fuori	it
vece	veces	es
pela	pela	pt
kai	kai	el
anna	anna	en
either	either	en
machin	machine	en
be	be	
sixteen	sixteen	en
run	run	en
ba	ba	
rum	rum	sv
rub	rub	ru
word	words	en
bo	bo	
rug	rug	en
rue	rue	fr
nuevo	nuevo	es
bu	bu	
step	step	en
weil	weil	de
hän	hän	fi
squeez	squeeze	en
santa	santa	en
starri	starry	en
santo	santo	pt
crap	crap	en
carol	carol	en
by	by	
nueva	nueva	es
shine	shine	en
faith	faith	en
candl	candle	en
mão	mão	pt
most	most	en
searchin	searchin'	en
bist	bist	de
perd	perd	fr
shini	shiny	en
brooklyn	brooklyn	en
valentin	valentine	en
drama	drama	en
duda	duda	es
idl	idle	en
dine	dine	da
heel	heels	en
pudiera	pudiera	es
wanna	wanna	en
block	block	en
sua	sua	pt
miracl	miracle	en
genocid	genocide	en
real	real	en
fan	fan	en
pero	pero	es
hermano	hermano	es
within	within	en
usual	usually	en
momma	momma	en
jimmi	jimmy	en
fallin	fallin'	en
chang	change	en
lesson	lesson	en
ann	ann	en
alguém	alguém	pt
stench	stench	en
holla	holla	en
desol	desolate	en
tú	tú	
ao	ao	
allí	allí	es
tô	tô	
question	question	en
pierdo	pierdo	es
submit	submit	en
liegt	liegt	de
feu	feu	fr
parec	parece	es
keinen	keinen	de
suit	suit	en
forward	forward	en
mach	mach	ar
qua	qua	vi
poder	poder	es
tá	tá	
aqu	aqu	es
mutil	mutilation	en
himself	himself	en
an	an	
ditch	ditch	en
ascend	ascend	en
frost	frost	en
heartach	heartache	en
won’t	won’t	en
carn	carne	es
cloth	clothes	en
dulc	dulce	es
doi	dois	pt
link	link	en
translat	translation	en
tenert	tenerte	es
atom	atomic	en
line	line	en
reel	reel	en
dull	dull	en
hush	hush	en
skull	skull	en
ut	ut	
up	up	
us	us	
ur	ur	
um	um	
un	un	
uh	uh	
holler	holler	en
z	z	
ki	ki	
bath	bath	en
necesito	necesito	es
v	v	
freak	freak	en
curs	curse	en
youâr	youâre	en
flow	flow	en
haunt	haunt	en
repres	represent	en
scarlet	scarlet	en
cure	cure	en
jétai	j'étais	fr
chat	chat	en
playin	playin'	en
curl	curl	en
hospit	hospital	en
prevail	prevail	en
curtain	curtain	en
kaikki	kaikki	fi
cotton	cotton	en
cuento	cuento	es
rainbow	rainbow	en
peter	peter	en
gris	gris	fr
nah	nah	id
nai	n'ai	fr
são	são	pt
nao	nao	pt
cuenta	cuenta	es
tard	tarde	es
vou	vou	pt
nas	nas	pt
raini	rainy	en
yang	yang	id
bear	bear	en
recordar	recordar	es
grind	grind	en
swirl	swirling	en
propheci	prophecy	en
mock	mock	en
nice	nice	en
dale	dale	en
draw	draw	en
oon	oon	ar
più	più	it
lend	lend	en
ritmo	ritmo	es
missin	missin'	en
papa	papa	it
william	williams	en
drag	drag	en
est	est	fr
cè	c'è	it
worm	worm	en
año	años	es
leaf	leaf	en
tua	tua	it
desert	desert	en
problema	problema	es
mood	mood	en
ago	ago	en
lane	lane	en
land	land	en
e	e	
sore	sore	en
age	age	en
sve	sve	bs
gehen	gehen	de
oppress	oppression	en
depth	depths	en
enslav	enslaved	en
hah	hah	en
restor	restore	en
fresh	fresh	en
hello	hello	en
passé	passé	fr
code	code	en
anda	anda	id
edg	edge	en
ganz	ganz	de
scratch	scratch	en
dime	dime	en
letzt	letzte	de
quero	quero	pt
alien	alien	en
ge	ge	
gana	ganas	es
gang	gang	no
ga	ga	
vuelto	vuelto	es
go	go	
psycho	psycho	en
meinem	meinem	de
senti	senti	pt
gi	gi	
privat	private	en
espera	espera	es
coeur	coeur	fr
young	young	en
llora	llora	es
nose	nose	en
oclock	o'clock	en
bum	bum	en
alto	alto	es
becam	became	en
sens	sense	en
fatal	fatal	en
sent	sent	en
inject	inject	en
zurück	zurück	de
aprend	aprender	es
garden	garden	en
sempr	sempre	it
noos	noose	en
rhyme	rhyme	en
agua	agua	es
wave	wave	en
mous	mouse	en
forgiven	forgiven	en
spoon	spoon	en
disast	disaster	en
uhhuh	uh-huh	en
shiver	shiver	en
wipe	wipe	en
tri	try	en
yeux	yeux	fr
magic	magic	en
wasteland	wasteland	en
magia	magia	es
stiff	stiff	en
zeit	zeit	de
fur	fur	en
button	button	en
gettin	gettin'	en
michael	michael	en
eve	eve	en
mirar	mirar	es
race	race	en
déjame	déjame	es
iba	iba	sk
stomp	stomp	en
marri	married	en
pleas	please	en
someday	someday	en
zo	zo	
fortun	fortune	en
esté	estés	es
natur	nature	en
bug	bug	en
está	está	es
vela	vela	it
jump	jump	en
crook	crooked	en
annihil	annihilation	en
video	video	en
plead	plead	en
zu	zu	
acid	acid	en
odd	odds	en
click	click	en
folk	folks	en
się	się	pl
går	går	sv
porqu	porque	es
compar	compare	en
chicago	chicago	en
wore	wore	en
slight	slightly	en
sonn	sonne	de
hardest	hardest	en
moan	moan	en
cell	cell	en
rotten	rotten	en
indian	indian	en
cancion	canciones	es
playa	playa	es
plug	plug	en
bird	bird	en
can	can	en
involv	involved	en
vibrat	vibration	en
led	led	en
chose	chose	fr
despit	despite	en
rocknrol	rock'n'roll	en
sexi	sexy	en
warum	warum	de
whoo	whoo	vi
punch	punch	en
kannst	kannst	de
sinn	sinn	is
swim	swim	en
quell	qu'elle	fr
les	les	fr
let	let	en
sink	sink	en
mnie	mnie	pl
sing	sing	en
sind	sind	de
palac	palace	en
fifteen	fifteen	en
sinc	since	en
qued	quede	es
great	great	en
até	até	pt
northern	northern	en
dell	delle	it
sangr	sangre	es
chant	chant	fr
gent	gente	es
30	30	
vacat	vacation	en
host	host	en
chao	chaos	en
sangu	sangue	pt
fond	fond	fr
cafe	cafe	en
veut	veut	fr
earli	early	en
opinion	opinion	en
climb	climb	en
meer	meer	nl
honor	honor	en
chanc	chance	en
control	control	en
wie	wie	de
danger	danger	en
shake	shake	en
win	win	en
sinä	sinä	fi
emot	emotions	en
foundat	foundation	en
estamo	estamos	es
volt	volte	it
wit	wit	nl
blah	blah	en
wir	wir	de
motor	motor	en
zijn	zijn	nl
voy	voy	es
cloud	clouds	en
dejar	dejar	es
use	used	en
olvid	olvides	es
from	from	en
che	che	it
usa	usa	it
&	&	
chi	chi	vi
doubl	double	en
gern	gern	de
escond	esconde	es
flat	flat	en
next	next	en
dynamit	dynamite	en
few	few	en
doubt	doubt	en
kuin	kuin	fi
toy	toy	en
clutch	clutch	en
sort	sort	en
don´t	don´t	en
dash	dash	en
clever	clever	en
babe	babe	en
bailando	bailando	es
porch	porch	en
babi	baby	en
caminho	caminho	pt
memoria	memoria	es
fiend	fiend	en
impress	impress	en
stone	stone	en
posso	posso	it
trail	trail	en
train	train	en
losin	losin'	en
vuelta	vuelta	es
ok	ok	
gambl	gamble	en
harvest	harvest	en
wretch	wretched	en
women	women	en
sont	sont	fr
heur	heures	fr
palabra	palabras	es
ace	ace	en
devant	devant	fr
spi	spy	en
this	this	en
plan	plan	en
ride	ride	en
critic	critical	en
pour	pour	fr
roar	roar	en
unreal	unreal	en
obvious	obvious	en
thin	thin	en
island	island	en
shook	shook	en
meet	meet	en
coffin	coffin	en
aliv	alive	en
sabe	sabes	es
masquerad	masquerade	en
qualquer	qualquer	pt
od	od	
tap	tap	en
bent	bent	nl
pawn	pawn	en
plate	plate	en
process	process	en
lock	locked	en
weet	weet	nl
rode	rode	nl
loco	loco	es
high	high	en
vultur	vultures	en
tag	tag	en
bene	bene	it
taa	taas	fi
slip	slip	en
tal	tal	mt
tan	tan	es
martyr	martyr	en
skirt	skirt	en
crimin	criminal	en
rape	rape	en
cambio	cambio	es
lamb	lamb	en
lejo	lejos	es
surfac	surface	en
sip	sip	en
querert	quererte	es
sit	sit	en
vibe	vibe	en
alegría	alegría	es
six	six	en
tras	tras	es
río	río	es
mujer	mujer	es
sia	sia	it
ander	anders	nl
sig	sig	sv
forest	forest	en
sie	sie	de
dissolv	dissolve	en
instead	instead	en
tak	tak	cs
panic	panic	en
sin	sin	es
sim	sim	ht
stock	stock	en
fare	fare	it
altar	altar	en
klar	klar	da
inhal	inhale	en
evri	ev'ry	hi
sir	sir	en
farm	farm	en
stop	stop	en
act	act	en
tief	tief	de
paralyz	paralyzed	en
canât	canât	en
wrist	wrist	en
attent	attention	en
ceil	ceiling	en
industri	industry	en
physic	physical	en
somethin	somethin'	en
assassin	assassin	en
tanta	tanta	es
bind	bind	en
isso	isso	pt
lame	lame	en
robot	robot	en
element	elements	en
mami	mami	zh-CN
primera	primera	es
entiendo	entiendo	es
mainten	maintenant	fr
allow	allow	en
lluvia	lluvia	es
ainda	ainda	pt
batter	battered	en
tunnel	tunnel	en
steve	steve	en
mieux	mieux	fr
weh	weh	de
standin	standin'	ku
thigh	thighs	en
movi	movie	en
move	move	en
galaxi	galaxy	en
desper	desperate	en
pine	pine	en
dial	dial	en
volta	volta	it
hunter	hunter	en
stride	stride	en
bunch	bunch	en
perfect	perfect	en
siehst	siehst	de
le	le	
outer	outer	en
till	till	sv
chosen	chosen	en
lo	lo	
ll	ll	
fue	fue	es
lamp	lamp	en
li	li	
mek	mek	ar
muert	muerte	es
når	når	no
puerta	puerta	es
llega	llega	es
decad	decade	en
bye	bye	en
filthi	filthy	en
jukebox	jukebox	en
dad	dad	en
nadi	nadie	es
dag	dag	sv
crash	crash	en
sword	sword	en
dal	dal	it
dam	dam	en
dan	dans	fr
spell	spell	en
dah	dah	ms
cover	cover	en
flew	flew	en
dat	dat	nl
mention	mention	en
doch	doch	de
autr	autre	fr
snake	snake	en
dar	dar	ro
gritar	gritar	es
front	front	en
scatter	scattered	en
surviv	survive	en
cage	cage	en
day	day	en
strive	strive	en
billi	billy	en
somewher	somewhere	en
thrill	thrill	en
anyth	anything	en
feast	feast	en
morir	morir	es
poetri	poetry	en
slide	slide	en
polit	politics	en
truth	truth	en
shirt	shirt	en
kommt	kommt	de
beneath	beneath	en
sil	s'il	fr
modo	modo	it
skate	skate	en
unwind	unwind	en
oui	oui	fr
tot	tot	nl
bueno	bueno	es
knive	knives	en
vien	viene	it
über	über	de
bump	bump	en
cett	cette	fr
buena	buena	es
product	product	en
consum	consume	en
leavin	leavin'	en
static	static	en
tien	tiene	es
bay	bay	en
sexual	sexual	en
wander	wander	en
special	special	en
falta	falta	es
sient	siente	es
rey	rey	es
attend	attend	en
sentiment	sentimental	en
bag	bag	en
defend	defend	en
tuyo	tuyo	es
från	från	sv
así	así	es
werden	werden	de
venom	venom	en
mate	mate	en
distract	distraction	en
cest	c'est	fr
sever	severed	en
mata	mata	id
pledg	pledge	en
wick	wicked	en
charli	charlie	en
contigo	contigo	es
defens	defense	en
red	red	en
obsess	obsession	en
afford	afford	en
franc	france	en
shut	shut	en
await	awaits	en
insid	inside	en
southern	southern	en
cambia	cambia	es
tempo	tempo	it
templ	temple	en
où	où	
que	que	es
york	york	en
x	x	
viejo	viejo	es
anyhow	anyhow	en
molli	molly	en
bleed	bleed	en
camino	camino	es
demai	demais	pt
etern	eternal	en
river	river	en
yard	yard	en
deserv	deserve	en
lone	lonely	en
guarante	guaranteed	en
enchant	enchanted	en
could	could	en
doy	doy	es
keep	keep	en
scari	scary	en
frent	frente	es
shred	shreds	en
chaqu	chaque	fr
outsid	outside	en
mortal	mortal	en
jam	jam	id
scare	scared	en
south	south	en
mankind	mankind	en
frozen	frozen	en
blown	blown	en
ihr	ihr	de
seu	seu	pt
sack	sack	en
echo	echo	en
date	date	en
dautr	d'autres	fr
ihn	ihn	de
bitch	bitch	en
vielä	vielä	fi
ihm	ihm	de
digniti	dignity	en
ses	ses	fr
scent	scent	en
jamá	jamás	es
fella	fellas	en
booti	booty	en
long	long	en
glisten	glisten	en
los	los	es
unknown	unknown	en
habit	habit	en
realidad	realidad	es
tribe	tribe	en
messag	message	en
mal	mal	de
their	their	en
attack	attack	en
definit	definitely	en
ruin	ruin	en
termin	terminal	en
espejo	espejo	es
perché	perché	it
final	finally	en
boil	boiling	en
misunderstood	misunderstood	en
negra	negra	es
shell	shell	en
stomach	stomach	en
gear	gear	en
big	big	en
jesus	jesus	en
einem	einem	de
punish	punishment	en
quando	quando	pt
shallow	shallow	en
negro	negro	es
biggest	biggest	en
maze	maze	en
sex	sex	en
herself	herself	en
shorti	shorty	en
blind	blind	en
practic	practice	en
steel	steel	en
nun	nun	de
photograph	photograph	en
bei	bei	de
ben	ben	zh-CN
tangl	tangled	en
bem	bem	pt
rendezv	rendezvous	en
bother	bother	en
beg	beg	ku
bed	bed	en
bee	bee	en
claim	claim	en
dai	dai	ja
llevar	llevar	es
padr	padre	es
kissin	kissin'	fi
becom	become	en
lover	lover	en
pedir	pedir	es
bare	bare	no
rate	rate	en
penetr	penetrate	en
steer	steer	en
perchè	perchè	it
tango	tango	en
inna	inna	pl
clip	clip	en
terribl	terrible	en
journey	journey	en
niña	niña	es
acabar	acabar	pt
sonho	sonho	pt
voce	voce	it
crucifi	crucified	en
corrupt	corruption	en
oughta	oughta	en
blir	blir	no
faut	faut	fr
rollin	rollin'	en
have	have	en
sen	sen	fi
throat	throat	en
madr	madre	es
loos	loose	en
yuh	yuh	en
border	border	en
sem	sem	is
shes	shes	en
q	q	
bastard	bastard	en
mij	mij	nl
mim	mim	pt
mil	mil	es
mio	mio	it
min	min	ku
mia	mia	it
respirar	respirar	es
mic	mic	ro
expos	exposed	en
mie	mie	it
you’r	you’re	en
mig	mig	sv
einfach	einfach	de
cuatro	cuatro	es
mix	mix	en
unawar	unaware	en
aujourdhui	aujourd'hui	fr
which	which	en
lindo	lindo	pt
truck	truck	en
mis	mis	et
mir	mir	de
mit	mit	de
singl	single	en
vaya	vaya	es
lugar	lugar	es
tonight	tonight	en
unless	unless	en
limb	limbs	en
combat	combat	en
mut	mut	fi
raindrop	raindrops	en
muev	mueve	es
who	who	en
salli	sally	en
whi	why	en
discov	discover	en
presid	president	en
hound	hound	en
fragment	fragments	en
hiphop	hip-hop	en
satan	satan	en
eight	eight	en
but	but	en
nous	nous	fr
tranc	trance	en
class	class	en
outro	outro	pt
landscap	landscape	en
stare	stare	ro
prove	prove	en
stereo	stereo	en
urg	urge	en
están	están	es
skinni	skinny	en
gather	gather	en
stronger	stronger	en
sunris	sunrise	en
enää	enää	fi
denk	denk	nl
deni	deny	en
fiel	fiel	de
denn	denn	de
aquí	aquí	es
luci	lucy	en
hardcor	hardcore	en
coffe	coffee	en
wow	wow	en
fact	fact	en
bell	bells	en
affair	affair	en
juego	juego	es
dijo	dijo	es
entertain	entertain	en
frighten	frightened	en
weiter	weiter	de
mich	mich	de
anyway	anyway	en
dije	dije	es
brother	brother	en
más	más	es
bring	bring	en
passo	passo	pt
niet	niet	nl
empir	empire	en
bedroom	bedroom	en
slippin	slippin'	en
chicken	chicken	en
darkest	darkest	en
texa	texas	en
passa	passa	pt
leg	legs	en
duck	duck	en
junto	junto	es
noit	noite	pt
ha	ha	
noir	noir	fr
histoir	histoire	fr
tire	tired	en
blowin	blowin'	en
illus	illusion	en
winner	winner	en
jar	jar	en
forev	forever	en
should	should	en
brighter	brighter	en
envi	envy	en
regga	reggae	en
suppos	supposed	en
jak	jak	pl
tudo	tudo	pt
pensar	pensar	es
fuel	fuel	en
jag	jag	sv
piano	piano	it
local	local	en
hope	hope	en
meant	meant	en
workin	workin'	en
satisfact	satisfaction	en
vill	vill	sv
familiar	familiar	en
dope	dope	en
disagre	disagree	en
ko	ko	
fora	fora	pt
beam	beam	en
bean	beans	en
rumbl	rumble	en
redeem	redeemed	en
tierra	tierra	es
ira	ira	es
increas	increase	en
leben	leben	de
sos	sos	es
lucki	lucky	en
endless	endless	en
gray	gray	en
viel	viel	de
cha	cha	sw
organ	organ	en
h	h	
possibl	possible	en
lala	lala	so
state	state	en
crow	crow	en
partir	partir	fr
sha	sha	zh-CN
stuff	stuff	en
she	she	en
gran	gran	es
contain	contain	en
shi	shy	en
rein	rein	de
watchin	watchin'	en
hei	hei	mi
view	view	en
toe	toes	en
perdido	perdido	es
solo	solo	it
prais	praise	en
bucket	bucket	en
frame	frame	en
pitch	pitch	en
apolog	apologize	en
dalla	dalla	it
disgust	disgust	en
powder	powder	en
stack	stack	en
joue	joue	fr
jeden	jeden	de
closer	closer	en
contempl	contemplate	en
sehr	sehr	de
wire	wire	en
closet	closet	en
pui	puis	fr
despu	despues	es
nuclear	nuclear	en
luz	luz	es
cruel	cruel	en
tend	tend	en
favor	favor	es
sublim	sublime	en
proof	proof	en
chemin	chemin	fr
destini	destiny	en
spare	spare	en
progress	progress	en
neither	neither	en
lip	lips	en
même	même	fr
junki	junkie	en
bought	bought	en
wollen	wollen	de
pipe	pipe	en
jos	jos	fi
adió	adiós	es
jou	jou	af
merri	merry	en
amen	amen	en
joy	joy	en
sorrow	sorrow	en
notion	notion	en
där	där	sv
então	então	pt
entir	entire	en
joe	joe	en
key	key	en
disconnect	disconnected	en
precious	precious	en
souvenir	souvenirs	fr
swift	swift	en
qual	qual	pt
david	david	en
revers	reverse	en
drum	drum	en
ett	ett	sv
weav	weave	en
joke	joke	en
despierto	despierto	es
la	la	
equal	equal	en
drug	drugs	en
display	display	en
april	april	en
doorway	doorway	en
succeed	succeed	en
grain	grain	en
puls	pulse	en
passag	passage	en
ami	ami	hu
swallow	swallow	en
darker	darker	en
afraid	afraid	en
glorious	glorious	en
aye	aye	en
comment	comment	en
vent	vent	fr
ci	ci	
jim	jim	en
co	co	
author	authority	en
wall	wall	en
ca	ca	
alla	alla	it
bis	bis	de
makin	makin'	id
ce	ce	
walk	walk	en
reborn	reborn	en
solv	solve	en
laugh	laugh	en
cousin	cousin	en
respect	respect	en
oer	o'er	no
cansado	cansado	es
veux	veux	fr
amigo	amigo	pt
quit	quite	en
revolut	revolution	en
slowli	slowly	en
tread	tread	en
quis	quise	es
maid	maid	en
entend	entender	pt
hoe	hoes	nl
cent	cent	en
très	très	fr
willi	willie	en
center	center	en
gaze	gaze	ro
besid	beside	en
treat	treat	en
motherfuck	motherfucker	en
tv	tv	
poet	poet	en
quil	qu'il	fr
feather	feather	en
kitchen	kitchen	en
cheek	cheek	en
mike	mike	en
circus	circus	en
nickel	nickel	en
treasur	treasure	en
vom	vom	de
presenc	presence	en
face	face	en
protect	protect	en
meus	meus	pt
señor	señor	es
siamo	siamo	it
hmm	hmm	en
lass	lass	de
mundo	mundo	es
bull	bull	en
ador	adore	fr
general	general	en
present	present	en
questa	questa	it
brauch	brauch	de
holiday	holiday	en
heut	heute	de
comput	computer	en
plain	plain	en
harder	harder	en
as	as	
will	will	en
defin	define	en
ar	ar	
facil	facile	fr
decept	deception	en
wild	wild	en
ku	ku	
scene	scene	en
observ	observe	en
déjà	déjà	fr
va	va	
coz	coz	en
droit	droit	fr
ve	ve	
locura	locura	es
fondo	fondo	es
almost	almost	en
vi	vi	
blood	blood	en
cultur	culture	en
morgen	morgen	de
fruit	fruit	en
lust	lust	de
girlfriend	girlfriend	en
lune	lune	fr
motiv	motivation	en
vu	vu	
raison	raison	fr
thug	thug	en
partner	partner	en
clone	clone	en
mesmo	mesmo	pt
whore	whore	en
halt	halt	de
tattoo	tattoo	en
uniti	unity	en
denial	denial	en
tas	t'as	en
welcom	welcome	en
parti	party	en
began	began	en
headlight	headlights	en
satisfi	satisfied	en
cross	cross	en
piu	piu'	it
handl	handle	en
cope	cope	en
dentro	dentro	es
auto	auto	en
underground	underground	en
easi	easy	en
about	about	en
cream	cream	en
nada	nada	es
womb	womb	en
tiempo	tiempo	es
ball	ball	en
slave	slave	en
siempr	siempre	es
dusk	dusk	en
pein	peine	fr
comprend	comprender	es
tenga	tenga	es
drink	drink	en
upon	upon	en
effect	effect	en
cétait	c'était	fr
romeo	romeo	en
beast	beast	en
vuelva	vuelvas	es
issu	issue	en
collid	collide	en
dust	dust	en
cigarett	cigarette	en
pourquoi	pourquoi	fr
nation	nation	en
judgment	judgment	en
killer	killer	en
vuelvo	vuelvo	es
curv	curve	en
gutter	gutter	no
off	off	en
destino	destino	es
i	i	
shotgun	shotgun	en
colour	colour	en
knowledg	knowledge	en
well	well	en
messiah	messiah	en
thought	thought	en
vet	vet	sv
1	1	
welt	welt	de
oft	oft	de
choos	choose	en
senza	senza	it
uno	uno	es
knight	knight	en
latest	latest	en
ny	n'y	es
distanc	distance	en
kiss	kiss	en
rocket	rocket	en
less	less	en
penso	penso	it
das	das	de
weekend	weekend	en
yall	y'all	es
mistaken	mistaken	en
gun	gun	en
momento	momento	es
já	já	
perdu	perdu	fr
tone	tone	en
paul	paul	en
glue	glue	en
papel	papel	es
distress	distress	en
web	web	en
quiero	quiero	es
weg	weg	de
wee	wee	en
devast	devastation	en
fellow	fellow	en
flee	flee	en
vida	vida	es
drunk	drunk	en
sky	sky	en
quiera	quiera	es
vide	vide	fr
bullshit	bullshit	en
drew	drew	en
wer	wer	de
add	add	en
other	other	en
generat	generation	en
halo	halo	ar
crack	crack	en
ohhh	ohhh	en
ley	ley	es
ought	ought	en
match	match	en
sich	sich	de
piel	piel	es
livin	livin'	en
fate	fate	en
rêves	rêves	fr
admit	admit	en
haut	haut	fr
piec	piece	en
llena	llena	es
historia	historia	es
cruz	cruz	es
ein	ein	de
five	five	en
know	know	en
unseen	unseen	en
desd	desde	es
paura	paura	it
realis	realise	fr
tick	tick	en
infierno	infierno	es
betti	betty	en
loss	loss	en
like	like	en
lost	lost	en
incred	incredible	en
bibl	bible	en
corpor	corporate	en
clown	clown	en
bark	bark	en
chica	chica	es
cantando	cantando	es
heed	heed	en
lose	lose	en
chick	chick	en
juic	juice	en
soft	soft	en
page	page	en
candi	candy	en
taim	t'aime	fr
shed	shed	en
nigga	nigga	en
pleur	pleure	fr
captur	captured	en
mua	mua	vi
matin	matin	fr
thief	thief	en
hail	hail	en
recuerdo	recuerdo	es
hair	hair	en
homm	homme	fr
daylight	daylight	en
får	får	sv
reviv	revive	en
homi	homie	en
dizer	dizer	pt
proper	proper	en
home	home	en
motivo	motivo	es
blade	blade	en
thiev	thieves	en
vraiment	vraiment	fr
guid	guide	en
ess	esse	pt
bet	bet	lt
lead	lead	en
zwei	zwei	de
broad	broad	en
avoid	avoid	en
lean	lean	en
thank	thank	en
chapter	chapter	en
leap	leap	en
fountain	fountain	en
passion	passion	en
settl	settle	en
esa	esa	es
leau	l'eau	fr
eso	eso	es
hunger	hunger	en
behav	behave	en
nake	naked	en
leader	leader	en
pued	puede	es
trap	trapped	en
birthday	birthday	en
peau	peau	fr
puedo	puedo	es
obey	obey	en
worthi	worthy	en
pueda	pueda	es
ident	identity	en
bathroom	bathroom	en
slut	slut	sv
parasit	parasite	en
singin	singin'	en
forgiv	forgive	en
glori	glory	en
although	although	en
instinct	instinct	en
despué	después	es
llama	llama	es
vengeanc	vengeance	en
swept	swept	en
stage	stage	en
throne	throne	en
cuerpo	cuerpo	es
sister	sister	en
quarter	quarter	en
rare	rare	en
knowin	knowin'	en
linger	linger	en
justic	justice	en
freedom	freedom	en
waist	waist	en
mä	mä	
cleans	cleanse	en
thirti	thirty	en
courag	courage	en
chrome	chrome	en
fear	fear	en
swear	swear	en
hier	hier	de
sweat	sweat	en
avenu	avenue	en
fals	false	en
toma	toma	es
tomb	tomb	en
diablo	diablo	en
kann	kann	de
own	own	en
absolut	absolutely	en
societi	society	en
owe	owe	en
tight	tight	en
tortur	torture	en
perman	permanent	en
automat	automatic	en
luna	luna	ro
weather	weather	en
lung	lungs	en
brush	brush	en
awhil	awhile	en
tristeza	tristeza	es
kinda	kinda	en
pussi	pussy	en
dug	dug	en
mere	mere	da
invad	invade	en
